Code,Name,N,E,Z,B,L,84H,RMS_x,RMS_y,RMS_h,Solution,Start time,Measure times,Antenna height,Antenna measure type,RMS,PDOP,HDOP,VDOP,TDOP,GDOP,Elevation,Tilt distance,End time,Base ID
 «π,X96-3,1860493.022,507016.183,142.895,"16?49'39.63357""","99?03'57.07758""",105.657,0.003,0.003,0.006,fixed,12/12/2020 15:48,3,2,Bottom of receiver,0.005,1.483,0.833,1.227,0.962,1.768,"15?00'00.00000""",0,12/12/2020 15:48,2
 «π,X96-4,1860488.839,507013.229,142.77,"16?49'39.49747""","99?03'56.97772""",105.532,0.006,0.006,0.013,fixed,12/12/2020 15:49,3,2,Bottom of receiver,0.01,1.656,0.944,1.36,1.109,1.993,"15?00'00.00000""",0,12/12/2020 15:49,2
 «π,X96-5,1860486.197,507010.416,143.056,"16?49'39.41153""","99?03'56.88263""",105.818,0.004,0.004,0.01,fixed,12/12/2020 15:49,3,2,Bottom of receiver,0.008,1.665,0.916,1.39,1.114,2.003,"15?00'00.00000""",0,12/12/2020 15:49,2
 «π,X96-6,1860485.275,507007.793,143.125,"16?49'39.38154""","99?03'56.79400""",105.887,0.005,0.005,0.011,fixed,12/12/2020 15:50,3,2,Bottom of receiver,0.009,1.205,0.671,1.001,0.732,1.41,"15?00'00.00000""",0,12/12/2020 15:50,2
 «π,X96-7,1860478.762,507000.802,143.061,"16?49'39.16968""","99?03'56.55771""",105.823,0.005,0.005,0.01,fixed,12/12/2020 15:50,3,2,Bottom of receiver,0.008,1.585,0.898,1.306,1.022,1.886,"15?00'00.00000""",0,12/12/2020 15:51,2
 «π,X96-8,1860475.402,506993.451,143.063,"16?49'39.06041""","99?03'56.30928""",105.824,0.002,0.002,0.006,fixed,12/12/2020 15:51,3,2,Bottom of receiver,0.005,1.526,0.88,1.246,0.978,1.812,"15?00'00.00000""",0,12/12/2020 15:51,2
 «π,X96-9,1860469.298,506985.302,143.285,"16?49'38.86186""","99?03'56.03384""",106.047,0.002,0.002,0.004,fixed,12/12/2020 15:51,3,2,Bottom of receiver,0.004,1.353,0.761,1.119,0.857,1.601,"15?00'00.00000""",0,12/12/2020 15:51,2
 «π,X96-10,1860463.677,506979.172,143.169,"16?49'38.67901""","99?03'55.82666""",105.931,0.002,0.002,0.003,fixed,12/12/2020 15:52,3,2,Bottom of receiver,0.003,1.275,0.716,1.055,0.791,1.501,"15?00'00.00000""",0,12/12/2020 15:52,2
 «π,X96-11,1860455.98,506974.68,143.133,"16?49'38.42856""","99?03'55.67479""",105.895,0.002,0.002,0.003,fixed,12/12/2020 15:52,3,2,Bottom of receiver,0.003,1.275,0.717,1.055,0.791,1.501,"15?00'00.00000""",0,12/12/2020 15:52,2
 «π,X96-12,1860447.649,506968.071,143.002,"16?49'38.15753""","99?03'55.45138""",105.764,0.002,0.002,0.003,fixed,12/12/2020 15:52,3,2,Bottom of receiver,0.003,1.229,0.699,1.011,0.748,1.439,"15?00'00.00000""",0,12/12/2020 15:52,2
 «π,X96-13,1860452.743,506960.007,143.08,"16?49'38.32339""","99?03'55.17895""",105.842,0.003,0.003,0.005,fixed,12/12/2020 15:53,3,2,Bottom of receiver,0.004,1.232,0.706,1.01,0.746,1.441,"15?00'00.00000""",0,12/12/2020 15:53,2
 «π,X96-14,1860452.752,506954.313,143.122,"16?49'38.32374""","99?03'54.98656""",105.884,0.002,0.002,0.003,fixed,12/12/2020 15:53,3,2,Bottom of receiver,0.003,1.208,0.672,1.003,0.735,1.414,"15?00'00.00000""",0,12/12/2020 15:53,2
 «π,X96-15,1860453.751,506947.501,143.013,"16?49'38.35633""","99?03'54.75639""",105.775,0.002,0.002,0.004,fixed,12/12/2020 15:53,3,2,Bottom of receiver,0.003,1.208,0.672,1.004,0.735,1.414,"15?00'00.00000""",0,12/12/2020 15:53,2
 «π,X96-16,1860450.886,506943.165,143.041,"16?49'38.26314""","99?03'54.60982""",105.803,0.002,0.002,0.005,fixed,12/12/2020 15:53,3,2,Bottom of receiver,0.004,1.324,0.767,1.079,0.815,1.555,"15?00'00.00000""",0,12/12/2020 15:54,2
 «π,X96-17,1860450.036,506942.095,142.91,"16?49'38.23548""","99?03'54.57368""",105.672,0.002,0.002,0.005,fixed,12/12/2020 15:54,3,2,Bottom of receiver,0.004,1.209,0.673,1.004,0.735,1.414,"15?00'00.00000""",0,12/12/2020 15:54,2
 «π,X97-1,1860409.094,506970.18,142.116,"16?49'36.90280""","99?03'55.52220""",104.879,0.005,0.005,0.008,fixed,12/12/2020 15:56,3,2,Bottom of receiver,0.007,1.255,0.689,1.049,0.78,1.478,"15?00'00.00000""",0,12/12/2020 15:56,2
 «π,X97-2,1860411.275,506975.95,142.397,"16?49'36.97371""","99?03'55.71719""",105.16,0.004,0.004,0.013,fixed,12/12/2020 15:56,3,2,Bottom of receiver,0.01,1.575,0.828,1.34,1.073,1.906,"15?00'00.00000""",0,12/12/2020 15:56,2
 «π,X97-3,1860412.488,506984.707,141.821,"16?49'37.01310""","99?03'56.01311""",104.584,0.005,0.005,0.011,fixed,12/12/2020 15:57,3,2,Bottom of receiver,0.009,1.987,1.072,1.672,1.418,2.441,"15?00'00.00000""",0,12/12/2020 15:57,2
 «π,X97-4,1860414.239,506993.69,141.319,"16?49'37.06999""","99?03'56.31666""",104.082,0.005,0.005,0.012,fixed,12/12/2020 15:57,3,2,Bottom of receiver,0.01,1.347,0.768,1.107,0.837,1.586,"15?00'00.00000""",0,12/12/2020 15:57,2
 «π,X97-5,1860420.017,506998.924,140.958,"16?49'37.25797""","99?03'56.49357""",103.721,0.002,0.002,0.004,fixed,12/12/2020 15:57,3,2,Bottom of receiver,0.004,1.418,0.824,1.153,0.901,1.68,"15?00'00.00000""",0,12/12/2020 15:57,2
 «π,X97-6,1860420.923,507003.8,140.694,"16?49'37.28740""","99?03'56.65837""",103.457,0.004,0.004,0.009,fixed,12/12/2020 15:58,3,2,Bottom of receiver,0.007,1.891,0.948,1.636,1.351,2.324,"15?00'00.00000""",0,12/12/2020 15:58,2
 «π,X97-7,1860425.752,507005.869,140.821,"16?49'37.44452""","99?03'56.72832""",103.584,0.008,0.008,0.022,fixed,12/12/2020 15:58,3,2,Bottom of receiver,0.017,1.299,0.71,1.088,0.81,1.53,"15?00'00.00000""",0,12/12/2020 15:58,2
 «π,X97-8,1860430.362,507010.315,140.856,"16?49'37.59450""","99?03'56.87859""",103.619,0.003,0.003,0.006,fixed,12/12/2020 15:59,3,2,Bottom of receiver,0.005,1.421,0.793,1.179,0.918,1.692,"15?00'00.00000""",0,12/12/2020 15:59,2
 «π,X97-9,1860432.615,507013.422,140.952,"16?49'37.66780""","99?03'56.98363""",103.715,0.002,0.002,0.003,fixed,12/12/2020 15:59,3,2,Bottom of receiver,0.003,1.301,0.71,1.09,0.811,1.533,"15?00'00.00000""",0,12/12/2020 15:59,2
 «π,X97-10,1860435.795,507017.024,140.877,"16?49'37.77122""","99?03'57.10538""",103.64,0.003,0.003,0.005,fixed,12/12/2020 15:59,3,2,Bottom of receiver,0.004,1.509,0.788,1.287,0.997,1.809,"15?00'00.00000""",0,12/12/2020 15:59,2
 «π,X97-11,1860439.051,507022.148,141.091,"16?49'37.87712""","99?03'57.27855""",103.854,0.002,0.002,0.004,fixed,12/12/2020 15:59,3,2,Bottom of receiver,0.003,1.533,0.811,1.301,1.017,1.84,"15?00'00.00000""",0,12/12/2020 15:59,2
 «π,X97-12,1860443.419,507028.01,140.844,"16?49'38.01921""","99?03'57.47667""",103.607,0.004,0.004,0.008,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.007,1.403,0.75,1.185,0.911,1.672,"15?00'00.00000""",0,12/12/2020 16:00,2
 «π,X97-13,1860447.262,507033.413,140.713,"16?49'38.14421""","99?03'57.65928""",103.475,0.006,0.006,0.01,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.009,1.576,0.876,1.311,1.034,1.885,"15?00'00.00000""",0,12/12/2020 16:00,2
 «π,X97-14,1860452.003,507039.979,140.496,"16?49'38.29844""","99?03'57.88119""",103.259,0.002,0.002,0.003,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.003,1.407,0.738,1.198,0.896,1.668,"15?00'00.00000""",0,12/12/2020 16:00,2
 «π,X97-15,1860454.597,507044.127,140.592,"16?49'38.38280""","99?03'58.02139""",103.354,0.002,0.002,0.004,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.003,1.398,0.759,1.175,0.887,1.656,"15?00'00.00000""",0,12/12/2020 16:00,2
 «π,X97-16,1860456.9,507048.227,140.782,"16?49'38.45772""","99?03'58.15993""",103.544,0.001,0.001,0.002,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.002,1.399,0.759,1.175,0.888,1.657,"15?00'00.00000""",0,12/12/2020 16:00,2
 «π,X97-17,1860458.721,507051.768,140.824,"16?49'38.51693""","99?03'58.27963""",103.587,0.001,0.001,0.002,fixed,12/12/2020 16:00,3,2,Bottom of receiver,0.002,1.399,0.759,1.175,0.888,1.657,"15?00'00.00000""",0,12/12/2020 16:01,2
 «π,X97-18,1860460.695,507055.147,140.738,"16?49'38.58114""","99?03'58.39382""",103.5,0.002,0.002,0.003,fixed,12/12/2020 16:01,3,2,Bottom of receiver,0.002,1.305,0.71,1.095,0.815,1.539,"15?00'00.00000""",0,12/12/2020 16:01,2
 «π,X98-1,1860421.906,507081.898,139.388,"16?49'37.31853""","99?03'59.29728""",102.151,0.004,0.004,0.009,fixed,12/12/2020 16:03,3,2,Bottom of receiver,0.007,1.612,0.892,1.343,1.061,1.929,"15?00'00.00000""",0,12/12/2020 16:03,2
 «π,X98-2,1860420.25,507077.992,139.324,"16?49'37.26467""","99?03'59.16530""",102.088,0.006,0.006,0.014,fixed,12/12/2020 16:03,3,2,Bottom of receiver,0.011,1.814,0.923,1.561,1.269,2.213,"15?00'00.00000""",0,12/12/2020 16:03,2
 «π,X98-3,1860412.472,507075.559,139.672,"16?49'37.01161""","99?03'59.08299""",102.436,0.002,0.002,0.005,fixed,12/12/2020 16:04,3,2,Bottom of receiver,0.004,1.429,0.761,1.209,0.918,1.698,"15?00'00.00000""",0,12/12/2020 16:04,2
 «π,X98-4,1860404.48,507067.541,141.181,"16?49'36.75159""","99?03'58.81196""",103.945,0.002,0.002,0.004,fixed,12/12/2020 16:05,3,2,Bottom of receiver,0.004,1.314,0.711,1.105,0.822,1.55,"15?00'00.00000""",0,12/12/2020 16:05,2
 «π,X98-5,1860403.92,507060.849,141.219,"16?49'36.73345""","99?03'58.58585""",103.983,0.006,0.006,0.013,fixed,12/12/2020 16:05,3,2,Bottom of receiver,0.011,1.469,0.805,1.229,0.951,1.75,"15?00'00.00000""",0,12/12/2020 16:05,2
 «π,X98-6,1860401.498,507056.23,141.366,"16?49'36.65469""","99?03'58.42975""",104.13,0.002,0.002,0.005,fixed,12/12/2020 16:05,3,2,Bottom of receiver,0.004,1.413,0.78,1.178,0.901,1.676,"15?00'00.00000""",0,12/12/2020 16:05,2
 «π,X98-7,1860397.96,507050.679,141.697,"16?49'36.53961""","99?03'58.24212""",104.461,0.003,0.003,0.005,fixed,12/12/2020 16:06,3,2,Bottom of receiver,0.004,1.315,0.711,1.106,0.823,1.551,"15?00'00.00000""",0,12/12/2020 16:06,2
 «π,X98-8,1860394.185,507046.531,141.887,"16?49'36.41681""","99?03'58.10193""",104.651,0.002,0.002,0.004,fixed,12/12/2020 16:06,3,2,Bottom of receiver,0.003,1.566,0.833,1.326,1.04,1.88,"15?00'00.00000""",0,12/12/2020 16:06,2
 «π,X98-9,1860390.245,507042.18,142.054,"16?49'36.28864""","99?03'57.95486""",104.819,0.002,0.002,0.004,fixed,12/12/2020 16:06,3,2,Bottom of receiver,0.003,1.426,0.775,1.196,0.911,1.692,"15?00'00.00000""",0,12/12/2020 16:06,2
 «π,X98-10,1860386.24,507038.004,142.388,"16?49'36.15833""","99?03'57.81373""",105.152,0.001,0.001,0.003,fixed,12/12/2020 16:07,3,2,Bottom of receiver,0.002,1.317,0.711,1.109,0.825,1.554,"15?00'00.00000""",0,12/12/2020 16:07,2
 «π,X98-11,1860382.712,507033.489,142.586,"16?49'36.04357""","99?03'57.66112""",105.35,0.002,0.002,0.004,fixed,12/12/2020 16:07,3,2,Bottom of receiver,0.003,1.317,0.711,1.109,0.825,1.554,"15?00'00.00000""",0,12/12/2020 16:07,2
 «π,X98-12,1860379.453,507028.74,142.98,"16?49'35.93757""","99?03'57.50060""",105.744,0.002,0.002,0.004,fixed,12/12/2020 16:07,3,2,Bottom of receiver,0.003,1.318,0.71,1.11,0.825,1.555,"15?00'00.00000""",0,12/12/2020 16:07,2
 «π,X98-13,1860376.178,507023.988,143.175,"16?49'35.83105""","99?03'57.34000""",105.939,0.002,0.002,0.004,fixed,12/12/2020 16:08,3,2,Bottom of receiver,0.003,1.318,0.71,1.11,0.825,1.555,"15?00'00.00000""",0,12/12/2020 16:08,2
 «π,X98-14,1860375.389,507020.644,143.208,"16?49'35.80540""","99?03'57.22700""",105.973,0.002,0.002,0.004,fixed,12/12/2020 16:08,3,2,Bottom of receiver,0.003,1.467,0.804,1.228,0.949,1.748,"15?00'00.00000""",0,12/12/2020 16:08,2
 «π,X98-15,1860373.916,507017.456,143.055,"16?49'35.75750""","99?03'57.11926""",105.82,0.001,0.001,0.005,fixed,12/12/2020 16:08,3,2,Bottom of receiver,0.004,1.472,0.805,1.232,0.956,1.755,"15?00'00.00000""",0,12/12/2020 16:08,2
 «π,X98-16,1860372.743,507012.966,143.078,"16?49'35.71938""","99?03'56.96753""",105.842,0.005,0.005,0.011,fixed,12/12/2020 16:09,3,2,Bottom of receiver,0.009,1.423,0.774,1.194,0.909,1.688,"15?00'00.00000""",0,12/12/2020 16:09,2
 «π,X98-17,1860370.721,507008.33,143.017,"16?49'35.65364""","99?03'56.81085""",105.781,0.002,0.002,0.007,fixed,12/12/2020 16:09,3,2,Bottom of receiver,0.005,1.32,0.71,1.112,0.827,1.557,"15?00'00.00000""",0,12/12/2020 16:09,2
 «π,X98-18,1860367.88,507003.644,143.004,"16?49'35.56123""","99?03'56.65249""",105.768,0.002,0.002,0.007,fixed,12/12/2020 16:09,3,2,Bottom of receiver,0.005,1.466,0.803,1.226,0.948,1.745,"15?00'00.00000""",0,12/12/2020 16:09,2
 «π,X98-19,1860364.19,506997.112,143.281,"16?49'35.44121""","99?03'56.43174""",106.046,0.003,0.003,0.009,fixed,12/12/2020 16:09,3,2,Bottom of receiver,0.007,1.32,0.71,1.113,0.827,1.558,"15?00'00.00000""",0,12/12/2020 16:09,2
 «π,X98-20,1860362.822,506988.655,143.096,"16?49'35.39678""","99?03'56.14596""",105.86,0.004,0.004,0.011,fixed,12/12/2020 16:10,3,2,Bottom of receiver,0.008,1.307,0.732,1.083,0.823,1.545,"15?00'00.00000""",0,12/12/2020 16:10,2
 «π,X99-1,1860314.707,507020.028,145.618,"16?49'33.83065""","99?03'57.20550""",108.383,0.002,0.002,0.003,fixed,12/12/2020 16:12,3,2,Bottom of receiver,0.003,1.322,0.709,1.116,0.829,1.56,"15?00'00.00000""",0,12/12/2020 16:12,2
 «π,X99-2,1860319.358,507029.813,145.263,"16?49'33.98190""","99?03'57.53620""",108.028,0.002,0.002,0.003,fixed,12/12/2020 16:12,3,2,Bottom of receiver,0.003,1.222,0.664,1.026,0.75,1.434,"15?00'00.00000""",0,12/12/2020 16:12,2
 «π,X99-3,1860322.429,507034.798,145.068,"16?49'34.08177""","99?03'57.70468""",107.834,0.002,0.002,0.005,fixed,12/12/2020 16:12,3,2,Bottom of receiver,0.004,1.223,0.664,1.026,0.75,1.434,"15?00'00.00000""",0,12/12/2020 16:12,2
 «π,X99-4,1860325.362,507038.637,144.864,"16?49'34.17719""","99?03'57.83443""",107.629,0.002,0.002,0.005,fixed,12/12/2020 16:13,3,2,Bottom of receiver,0.004,1.226,0.664,1.03,0.753,1.438,"15?00'00.00000""",0,12/12/2020 16:13,2
 «π,X99-5,1860327.902,507043.232,144.71,"16?49'34.25981""","99?03'57.98972""",107.475,0.002,0.002,0.005,fixed,12/12/2020 16:14,3,2,Bottom of receiver,0.004,1.227,0.664,1.031,0.753,1.439,"15?00'00.00000""",0,12/12/2020 16:14,2
 «π,X99-6,1860331.707,507047.936,144.45,"16?49'34.38357""","99?03'58.14869""",107.216,0.002,0.002,0.005,fixed,12/12/2020 16:14,3,2,Bottom of receiver,0.004,1.312,0.712,1.102,0.824,1.55,"15?00'00.00000""",0,12/12/2020 16:14,2
 «π,X99-7,1860335.029,507052.267,144.313,"16?49'34.49161""","99?03'58.29508""",107.078,0.002,0.002,0.006,fixed,12/12/2020 16:14,3,2,Bottom of receiver,0.005,1.45,0.784,1.219,0.95,1.733,"15?00'00.00000""",0,12/12/2020 16:14,2
 «π,X99-8,1860339.714,507057.86,144.027,"16?49'34.64403""","99?03'58.48414""",106.792,0.001,0.001,0.004,fixed,12/12/2020 16:14,3,2,Bottom of receiver,0.003,1.242,0.688,1.034,0.755,1.454,"15?00'00.00000""",0,12/12/2020 16:14,2
 «π,X99-9,1860344.719,507063.544,143.84,"16?49'34.80684""","99?03'58.67623""",106.606,0.001,0.001,0.003,fixed,12/12/2020 16:14,3,2,Bottom of receiver,0.002,1.324,0.708,1.118,0.83,1.562,"15?00'00.00000""",0,12/12/2020 16:14,2
 «π,X99-10,1860348.8,507068.208,143.524,"16?49'34.93960""","99?03'58.83388""",106.29,0.002,0.002,0.005,fixed,12/12/2020 16:15,3,2,Bottom of receiver,0.004,1.229,0.664,1.034,0.756,1.443,"15?00'00.00000""",0,12/12/2020 16:15,2
 «π,X99-11,1860353.005,507072.785,143.422,"16?49'35.07640""","99?03'58.98858""",106.187,0.001,0.001,0.004,fixed,12/12/2020 16:15,3,2,Bottom of receiver,0.003,1.413,0.746,1.199,0.919,1.685,"15?00'00.00000""",0,12/12/2020 16:15,2
 «π,X99-12,1860357.768,507077.763,143.186,"16?49'35.23134""","99?03'59.15683""",105.951,0.001,0.001,0.004,fixed,12/12/2020 16:15,3,2,Bottom of receiver,0.003,1.231,0.664,1.036,0.757,1.445,"15?00'00.00000""",0,12/12/2020 16:15,2
 «π,X99-13,1860362.566,507082.701,142.916,"16?49'35.38744""","99?03'59.32377""",105.681,0.002,0.002,0.005,fixed,12/12/2020 16:15,3,2,Bottom of receiver,0.004,1.414,0.746,1.201,0.92,1.686,"15?00'00.00000""",0,12/12/2020 16:15,2
 «π,X99-14,1860367.373,507087.432,142.681,"16?49'35.54381""","99?03'59.48367""",105.446,0.002,0.002,0.004,fixed,12/12/2020 16:15,3,2,Bottom of receiver,0.003,1.414,0.746,1.202,0.92,1.687,"15?00'00.00000""",0,12/12/2020 16:16,2
 «π,X99-15,1860372.111,507091.858,142.465,"16?49'35.69795""","99?03'59.63328""",105.23,0.001,0.001,0.004,fixed,12/12/2020 16:16,3,2,Bottom of receiver,0.003,1.318,0.712,1.109,0.829,1.557,"15?00'00.00000""",0,12/12/2020 16:16,2
 «π,X99-16,1860376.925,507096.736,142.195,"16?49'35.85456""","99?03'59.79816""",104.96,0.002,0.002,0.005,fixed,12/12/2020 16:16,3,2,Bottom of receiver,0.004,1.433,0.763,1.214,0.922,1.704,"15?00'00.00000""",0,12/12/2020 16:16,2
 «π,X99-17,1860381.811,507102.213,141.908,"16?49'36.01351""","99?03'59.98330""",104.673,0.003,0.003,0.007,fixed,12/12/2020 16:16,3,2,Bottom of receiver,0.005,1.632,0.814,1.414,1.118,1.978,"15?00'00.00000""",0,12/12/2020 16:16,2
 «π,X99-18,1860385.875,507107.882,141.566,"16?49'36.14569""","99?04'00.17488""",104.331,0.001,0.001,0.004,fixed,12/12/2020 16:16,3,2,Bottom of receiver,0.003,1.234,0.665,1.04,0.76,1.45,"15?00'00.00000""",0,12/12/2020 16:16,2
 «π,X99-19,1860389.692,507113.643,141.249,"16?49'36.26985""","99?04'00.36958""",104.014,0.001,0.001,0.004,fixed,12/12/2020 16:17,3,2,Bottom of receiver,0.003,1.709,0.864,1.474,1.193,2.084,"15?00'00.00000""",0,12/12/2020 16:17,2
 «π,X99-20,1860393.105,507119.761,140.889,"16?49'36.38086""","99?04'00.57636""",103.654,0.003,0.003,0.008,fixed,12/12/2020 16:17,3,2,Bottom of receiver,0.006,1.626,0.837,1.394,1.098,1.962,"15?00'00.00000""",0,12/12/2020 16:17,2
 «π,X100-1,1860283.402,507054.048,145.041,"16?49'32.81153""","99?03'58.35468""",107.807,0.002,0.002,0.004,fixed,12/12/2020 16:25,3,2,Bottom of receiver,0.003,1.212,0.657,1.019,0.734,1.417,"15?00'00.00000""",0,12/12/2020 16:25,2
 «π,X100-2,1860286.624,507063.119,144.63,"16?49'32.91627""","99?03'58.66121""",107.397,0.004,0.004,0.007,fixed,12/12/2020 16:26,3,2,Bottom of receiver,0.006,1.237,0.666,1.042,0.758,1.451,"15?00'00.00000""",0,12/12/2020 16:26,2
 «π,X100-3,1860288.329,507067.235,144.467,"16?49'32.97171""","99?03'58.80032""",107.234,0.003,0.003,0.006,fixed,12/12/2020 16:26,3,2,Bottom of receiver,0.005,1.084,0.605,0.899,0.628,1.252,"15?00'00.00000""",0,12/12/2020 16:26,2
 «π,X100-4,1860290.799,507071.202,144.349,"16?49'33.05204""","99?03'58.93440""",107.116,0.001,0.001,0.003,fixed,12/12/2020 16:26,3,2,Bottom of receiver,0.003,1.129,0.62,0.943,0.668,1.312,"15?00'00.00000""",0,12/12/2020 16:27,2
 «π,X100-5,1860288.571,507078.221,143.992,"16?49'32.97945""","99?03'59.17153""",106.759,0.002,0.002,0.005,fixed,12/12/2020 16:27,3,2,Bottom of receiver,0.004,1.133,0.62,0.948,0.671,1.317,"15?00'00.00000""",0,12/12/2020 16:27,2
 «π,X100-6,1860295.128,507087.684,143.778,"16?49'33.19274""","99?03'59.49136""",106.545,0.002,0.002,0.005,fixed,12/12/2020 16:28,3,2,Bottom of receiver,0.004,1.174,0.636,0.987,0.709,1.371,"15?00'00.00000""",0,12/12/2020 16:28,2
 «π,X100-7,1860301.17,507101.309,143.171,"16?49'33.38923""","99?03'59.95182""",105.938,0.001,0.001,0.003,fixed,12/12/2020 16:29,3,2,Bottom of receiver,0.003,1.178,0.636,0.991,0.712,1.377,"15?00'00.00000""",0,12/12/2020 16:29,2
 «π,X100-8,1860304.838,507106.761,142.982,"16?49'33.50852""","99?04'00.13609""",105.749,0.001,0.001,0.003,fixed,12/12/2020 16:29,3,2,Bottom of receiver,0.002,1.262,0.668,1.071,0.788,1.488,"15?00'00.00000""",0,12/12/2020 16:29,2
 «π,X100-9,1860310.252,507111.697,142.868,"16?49'33.68467""","99?04'00.30294""",105.634,0.002,0.002,0.007,fixed,12/12/2020 16:30,3,2,Bottom of receiver,0.005,1.417,0.725,1.217,0.928,1.694,"15?00'00.00000""",0,12/12/2020 16:30,2
 «π,X100-10,1860313.89,507116.973,142.604,"16?49'33.80299""","99?04'00.48125""",105.371,0.003,0.003,0.01,fixed,12/12/2020 16:30,3,2,Bottom of receiver,0.007,1.337,0.714,1.13,0.846,1.582,"15?00'00.00000""",0,12/12/2020 16:30,2
 «π,X100-11,1860317.021,507124.208,142.182,"16?49'33.90481""","99?04'00.72574""",104.948,0.002,0.002,0.009,fixed,12/12/2020 16:30,3,2,Bottom of receiver,0.007,1.348,0.693,1.156,0.837,1.587,"15?00'00.00000""",0,12/12/2020 16:31,2
 «π,X100-12,1860322.748,507129.95,141.418,"16?49'34.09112""","99?04'00.91983""",104.184,0.003,0.003,0.008,fixed,12/12/2020 16:31,3,2,Bottom of receiver,0.006,1.28,0.687,1.081,0.794,1.507,"15?00'00.00000""",0,12/12/2020 16:31,2
 «π,X100-13,1860329.249,507134.82,141.182,"16?49'34.30262""","99?04'01.08447""",103.948,0.005,0.005,0.013,fixed,12/12/2020 16:31,3,2,Bottom of receiver,0.01,1.656,0.765,1.468,1.143,2.012,"15?00'00.00000""",0,12/12/2020 16:31,2
 «π,X100-14,1860334.488,507139.523,141.129,"16?49'34.47305""","99?04'01.24345""",103.895,0.003,0.003,0.01,fixed,12/12/2020 16:32,3,2,Bottom of receiver,0.007,1.479,0.766,1.265,0.972,1.77,"15?00'00.00000""",0,12/12/2020 16:32,2
 «π,X100-15,1860342.577,507140.946,141.232,"16?49'34.73627""","99?04'01.29161""",103.998,0.004,0.004,0.009,fixed,12/12/2020 16:32,3,2,Bottom of receiver,0.007,1.209,0.656,1.015,0.734,1.414,"15?00'00.00000""",0,12/12/2020 16:32,2
 «π,X100-16,1860348.208,507143.293,140.829,"16?49'34.91950""","99?04'01.37100""",103.595,0.002,0.002,0.01,fixed,12/12/2020 16:33,3,2,Bottom of receiver,0.007,1.285,0.685,1.087,0.798,1.513,"15?00'00.00000""",0,12/12/2020 16:33,2
 «π,X100-17,1860347.009,507161.144,139.625,"16?49'34.88031""","99?04'01.97415""",102.391,0.004,0.004,0.01,fixed,12/12/2020 16:33,3,2,Bottom of receiver,0.008,1.266,0.665,1.078,0.791,1.493,"15?00'00.00000""",0,12/12/2020 16:34,2
 «π,X100-18,1860351.333,507168.16,140.137,"16?49'35.02095""","99?04'02.21126""",102.903,0.002,0.002,0.007,fixed,12/12/2020 16:34,3,2,Bottom of receiver,0.005,1.437,0.773,1.212,0.914,1.703,"15?00'00.00000""",0,12/12/2020 16:34,2
·™°,241-1,1859713.386,508330.712,144.729,"16?49'14.24640""","99?04'41.48524""",107.517,0.002,0.002,0.007,fixed,12/12/2020 16:55,3,2,Bottom of receiver,0.005,1.367,0.684,1.184,0.853,1.612,"15?00'00.00000""",0,12/12/2020 16:55,2
·™°,241-2,1859713.388,508330.694,144.752,"16?49'14.24643""","99?04'41.48461""",107.54,0.001,0.001,0.004,fixed,12/12/2020 16:59,60,2,Bottom of receiver,0.003,1.243,0.632,1.071,0.764,1.459,"15?00'00.00000""",0,12/12/2020 17:00,2
·™°,241-3,1859713.387,508330.693,144.757,"16?49'14.24642""","99?04'41.48458""",107.545,0.002,0.002,0.004,fixed,12/12/2020 17:00,60,2,Bottom of receiver,0.003,1.206,0.613,1.039,0.732,1.411,"15?00'00.00000""",0,12/12/2020 17:01,2
·™°,241-4,1859713.386,508330.69,144.764,"16?49'14.24639""","99?04'41.48450""",107.552,0.002,0.002,0.004,fixed,12/12/2020 17:01,60,2,Bottom of receiver,0.003,1.206,0.613,1.038,0.732,1.41,"15?00'00.00000""",0,12/12/2020 17:02,2
B,Base:lak12-12-63,1859677.939,508359.603,146.699,"16?49'13.09246""","99?04'42.46095""",109.488,0,0,0,base,12/12/2020 8:02,0,2,Slant,0,0,0,0,0,0,"00?00'00.00000""",0,12/12/2020 8:02,0
